,기관주소,기관명,lon,lat
0,경기도 수원시 팔달구 경수대로 568,100세약국,127.03083743566191,37.27633929395022
1,경기도 수원시 영통구 월드컵로 153 (원천동),123약국,127.0483270736,37.2773353936
2,"경기도 수원시 장안구 만석로19번길 25-10, 롯데마트 1층 (천천동)",21세기약국,126.9825335323051,37.295875772920674
3,"경기도 수원시 팔달구 정조로 775, 102호 (팔달로3가)",21세기약국,127.0161104972,37.2771891829
4,"경기도 수원시 팔달구 정조로 777, (팔달로3가)",21세기약국,127.01610602,37.2773441624
5,"경기도 수원시 권선구 정조로 523, 1층 (세류동)",21세기정약국,127.01161041301799,37.2549339624815
6,"경기도 수원시 영통구 광교중앙로 170, 광교 효성해링턴 타워 3층 311호 (하동)",365별약국,127.06070277716802,37.28812414380889
7,"경기도 수원시 권선구 덕영대로 1205, 103호 (권선동, 미래타운)",E-푸른약국,127.02241855622151,37.24927037636922
8,"경기도 수원시 장안구 이목로 24-3, 1층 109호 (정자동)",SK오렌지약국,126.98475793493811,37.30966269560704
9,"경기도 수원시 팔달구 중부대로87번길 6, 1층 (지동)",가까운성모약국,127.026258465101,37.2768025325841
10,경기도 수원시 권선구 동수원로58번길 12 (곡반정동),가까운약국,127.0260953466,37.2357358071
11,"경기도 수원시 권선구 매송고색로 714, (고색동)",가나다약국,126.9824883882294,37.25104973771223
12,대전광역시 서구 계백로 1141 (가수원동),가수원프라자약국,127.35006013441479,36.30493838403828
13,경기도 수원시 팔달구 중부대로 98 (인계동),가톨릭건강약국,127.02732422443898,37.276869919625724
14,"경기도 수원시 팔달구 중부대로 94-5 (인계동, 대성빌딩)",가톨릭보령당약국,127.0271964470239,37.27667535121431
15,"경기도 수원시 팔달구 중부대로 94, 1층 (인계동, 성웅빌딩)",가톨릭약국,127.02703998437835,37.276574442395244
16,경기도 수원시 권선구 권선로 652 ,강남약국,127.02244228822522,37.26012603106007
17,경기도 수원시 장안구 덕영대로407번길 34-22,강약국,126.96862213292903,37.30292598506023
18,경기도 수원시 팔달구 덕영대로 905,갤러리약국,127.00052495196547,37.2678623917948
19,"경기도 수원시 권선구 동수원로 232, 지하1층(권선동,GS마트)",건강과자연약국,127.03471633269346,37.25026203502018
20,"경기도 수원시 영통구 동수원로537번길 15-4, 1층(원천동)",건강나누리약국,127.04801382389935,37.27411700508309
21,"경기도 수원시 장안구 송정로 146, 101호 (조원동, 상훈아파트)",건강나눔약국,127.01293866688988,37.29683221469833
22,"경기도 수원시 장안구 수성로245번길 60, 1층 (정자동)",건강누리약국,126.99785723329497,37.2917690714956
23,"경기도 수원시 영통구 월드컵로 189, 1층 (원천동)",건강드림약국,127.04484207394,37.2789435894849
24,"경기도 수원시 권선구 금곡로196번길 76, 서울JS프라자 1층 1~2호 (금곡동)",건강온누리약국,126.955517982831,37.2735435209122
25,"경기도 수원시 장안구 정자천로 163 101호 (정자동,하나로빌딩)",건강플러스만보약국,126.994225000000000,37.294933333333333
26,"경기도 수원시 권선구 금곡로 236 (금곡동, 홈플러스)",건강플러스약국,126.95591424663084,37.27440686602668
