,교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,홈페이지,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,lat,lon
0,강원도교육청,강릉교육지원청,옥계초등학교금진분교장병설유치원,공립(병설),이재숙,이재숙,19820301,19820301,강원도 강릉시 금진안길 2,033-534-0107, ,0,0,0,1,0,0,0,0,2,0,37.6349571276333,129.043471801347
1,강원도교육청,강릉교육지원청,청담유치원,사립(사인),최중철,심수희,20141015,20150302,강원도 강릉시 가작로287번길 40-2,033-653-2589, ,1,1,1,0,0,10,18,16,0,0,37.7738337545505,128.905644601616
2,강원도교육청,강릉교육지원청,좋은유치원,사립(사인),이호전,이호전,19881111,19881111,강원도 강릉시 남부로136번길 19,033-642-6197, ,1,2,2,0,0,24,44,36,0,0,37.7406201259036,128.896279487452
3,강원도교육청,강릉교육지원청,강릉초등학교병설유치원,공립(병설),김윤기,김윤기,19810310,19810310,강원도 강릉시 토성로 103,033-650-2670,http://kangnung.gwe.es.kr/,1,1,1,0,0,11,18,24,0,0,37.7536780619204,128.887750994969
4,강원도교육청,강릉교육지원청,영동초등학교병설유치원,공립(병설),배정희,배정희,19850922,19850922,강원도 강릉시 화부산로 28,033-650-6790,http://yeongdong.gwe.es.kr,0,0,0,1,0,0,0,0,13,0,37.7604441923164,128.886160132751
5,강원도교육청,강릉교육지원청,경포유치원,공립(단설),김혜자,김혜자,20031008,20031008,강원도 강릉시 솔올로 90,033-647-1682,http://kyongpo.gwe.kg.kr,1,2,2,0,1,16,43,43,0,4,37.770006574227,128.879857548236
6,강원도교육청,강릉교육지원청,옥계초등학교병설유치원,공립(병설),이재숙,이재숙,19800301,19800301,강원도 강릉시 옥계로 1074,033-534-1164, ,1,1,1,0,0,7,11,8,0,0,37.6094088046765,129.034776669757
7,강원도교육청,강릉교육지원청,소화유치원,사립(사인),김명주,김명주,19670310,19670310,강원도 강릉시 임영로 148,033-643-3191, ,1,2,2,0,0,24,52,54,0,0,37.7542589112306,128.892485576944
8,강원도교육청,강릉교육지원청,하슬라유치원,공립(단설),장은숙,장은숙,20160301,20160301,강원도 강릉시 율곡로2692번길 8,033-649-8800,http://haseulla.gwe.kg.kr/,1,2,2,0,1,17,42,47,0,5,37.7485069776817,128.909879116556
9,강원도교육청,강릉교육지원청,정동초등학교병설유치원,공립(병설),권혁록,권혁록,19810320,19810320,강원도 강릉시 헌화로 1055,070-4810-6418,http://jeongdong.gwe.es.kr/,0,0,0,1,0,0,0,0,8,0,37.6873531765373,129.033617380648
10,강원도교육청,강릉교육지원청,강릉유치원,사립(사인),이상천,최종숙,19830310,19830310,강원도 강릉시 해안로 333,033-652-9360, ,1,1,1,0,0,24,25,24,0,0,37.7928673193847,128.916401415643
11,강원도교육청,강릉교육지원청,금광초등학교병설유치원,공립(병설),이숭복,이숭복,19810318,19810318,강원도 강릉시 금평로 575,033-646-9424,http://www.kumkwang.gwe.es.kr/,0,0,0,1,0,0,0,0,13,0,37.703882582893,128.913554706374
12,강원도교육청,강릉교육지원청,제이엠유치원,사립(사인),박영옥,손미애,20131101,20140301,강원도 강릉시 성덕로 328-1,6559494,http://jmkids.co.kr,2,2,2,0,0,44,48,46,0,0,37.7535560270715,128.920871904261
13,강원도교육청,강릉교육지원청,남산초등학교병설유치원,공립(병설),최창섭,최창섭,19910310,19910310,강원도 강릉시 남산초교길 33,033-650-4705,http://namsan-n.gwe.es.kr/classMgt/view.do,0,0,1,1,0,0,0,19,10,0,37.7444900417119,128.892106032088
14,강원도교육청,강릉교육지원청,성산초등학교병설유치원,공립(병설),김은순,김은순,19870304,19870304,강원도 강릉시 구산길 15,033-641-9107,http://seongsan.gwe.es.kr,0,0,0,1,0,0,0,0,11,0,37.7190711064891,128.833743089096
15,강원도교육청,강릉교육지원청,주영초등학교병설유치원,공립(병설),강호진,강호진,19810311,19810311,강원도 강릉시 약수동길 15-12,033-660-7370,http://juyoung.gwe.es.kr,0,0,0,1,0,0,0,0,5,0,37.8980032591894,128.8260431755
16,강원도교육청,강릉교육지원청,명주초등학교병설유치원,공립(병설),권기자,권기자,19810301,19810301,강원도 강릉시 강변로 86-1,033-645-1735, ,0,0,0,1,0,0,0,0,18,0,37.7427781727303,128.878469198556
17,강원도교육청,강릉교육지원청,사천초등학교병설유치원,공립(병설),김재일,김재일,19810310,19810310,강원도 강릉시 미노길 46,033-660-6571,http://kwsachon.gwe.es.kr/boardCnts/list.do?boardID=68458&m=020601&s=kwsachon,0,0,0,1,0,0,0,0,11,0,37.8218886704059,128.850513850304
18,강원도교육청,강릉교육지원청,신영초등학교병설유치원,공립(병설),최종호,최종호,19810301,19810301,강원도 강릉시 주문북로 160,033-660-6082, ,0,0,0,1,0,0,0,0,6,0,37.9070684326529,128.823265241484
19,강원도교육청,강릉교육지원청,다인유치원,사립(사인),김상희,신은정,20070223,20070223,강원도 강릉시 성덕로 232-11,033-652-7701,https://dain-kindergarten.kidsnote.ac,1,1,2,1,0,6,15,38,7,0,37.7601408252507,128.929536015457
