"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008068,의귀초등학교,초등학교,1959-02-20,공립,본교,운영,제주특별자치도 서귀포시 남원읍 의귀리 1483-3,제주특별자치도 서귀포시 남원읍 한신로 213,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2013-11-29,2021-07-05,33.311118946,126.71462802,2021-09-15
B000022613,거제장평중학교,중학교,2013-05-01,공립,본교,운영,경상남도 거제시 장평동 148,경상남도 거제시 장평4로 40,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2013-11-29,2021-07-05,34.88608569,128.60646654,2021-09-15
B000022983,연무여자중학교,중학교,1970-04-10,사립,본교,운영,충청남도 논산시 연무읍 동산리 879,충청남도 논산시 연무읍 동안로887번길 5,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2013-11-29,2021-07-05,36.135364663,127.10463278,2021-09-15
B000002721,기장초등학교,초등학교,1911-07-01,공립,본교,운영,부산광역시 기장군 기장읍 동부리 320,부산광역시 기장군 기장읍 읍내로 69,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2021-07-05,35.245772171,129.21276564,2021-09-15
B000012154,성일여자고등학교,고등학교,1986-05-01,사립,본교,운영,부산광역시 사하구 신평동 60-1,부산광역시 사하구 다대로 161,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2021-07-05,35.089499512,128.98006264,2021-09-15
B000007661,칠산초등학교,초등학교,1945-05-30,공립,본교,운영,경상남도 김해시 화목동 773-1,경상남도 김해시 칠산로 413번길 16-2,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2021-07-05,35.210016492,128.85154146,2021-09-15
B000007938,북상초등학교,초등학교,1928-07-01,공립,본교,운영,경상남도 거창군 북상면 갈계리 1439-1,경상남도 거창군 북상면 송계로 731-18,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2021-07-05,35.780095851,127.81703863,2021-09-15
B000013479,대영고등학교,고등학교,1987-12-15,공립,본교,운영,서울특별시 영등포구 신길동 336-2,서울특별시 영등포구 도림로86길 16,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-07-05,37.503661091,126.90586572,2021-09-15
B000002754,대구아양초등학교,초등학교,1958-04-07,공립,본교,운영,대구광역시 동구 신암동 1463,대구광역시 동구 아양로 221,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.887462681,128.63743376,2021-09-15
B000009024,가수원중학교,중학교,1988-03-05,공립,본교,운영,대전광역시 서구 가수원동 806-18,대전광역시 서구 가수원로 26,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.298472112,127.35455798,2021-09-15
B000008657,동원중학교,중학교,1984-12-18,공립,본교,운영,대구광역시 수성구 만촌동 254,대구광역시 수성구 효행로2길 81,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.875856424,128.6510708,2021-09-15
B000002213,서울양동초등학교,초등학교,1972-08-11,공립,본교,운영,서울특별시 양천구 신정동 941,서울특별시 양천구 오목로23길 24,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-07-05,37.525848264,126.85124019,2021-09-15
