시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,lat,lon
수원시,2001아울렛,2001 Outlet Mall,202000048,3138,노변정류장,경기도 수원시,경기도 수원시 팔달구 지동,37.2754,127.0214167
수원시,2001아울렛,2001 Outlet Mall,202000051,3135,노변정류장,경기도 수원시,경기도 수원시 팔달구 인계동,37.2752833,127.0224167
수원시,CJ블로썸파크,,202508370,,,,,37.2862,127.0427167
수원시,GS25편의점앞,GS 25 Convenience Store,202000186,3261,노변정류장,경기도 수원시,,37.2747333,127.0063167
수원시,GS25편의점앞,GS 25 Convenience Store,202000178,3253,노변정류장,경기도 수원시,,37.2747333,127.0061333
수원시,GS아파트.천천푸르지오,"GS Apartment, Cheoncheon Prugio Apartment ",200000198,1028,노변정류장,경기도 수원시,경기도 수원시 장안구 천천동,37.2892833,126.97995
수원시,GS자이아파트,GS Xi Apartment,203000375,4361,노변정류장,경기도 수원시,경기도 수원시 영통구 망포동,37.24145,127.0528333
수원시,KBS수원센타,KBS Suwon Center,202000023,3076,노변정류장,경기도 수원시,경기도 수원시 팔달구 인계동,37.26795,127.0282833
수원시,KBS수원센터.LG화재,"KBS Suwon Center, KB Insurance",202000070,3079,노변정류장,경기도 수원시,경기도 수원시 팔달구 인계동,37.2726667,127.0291
수원시,KBS수원센터.경기도노인회관,"KBS Suwon Center, Gyeonggi-do Seniors Community Center",202000026,3078,노변정류장,경기도 수원시,경기도 수원시 팔달구 인계동,37.2682667,127.0286833
수원시,KBS수원센터정문.한화생명,"KBS Suwon Center Main Gate, Hanhwa Life Insurance",202000045,3077,노변정류장,경기도 수원시,경기도 수원시 팔달구 인계동,37.2720833,127.02845
수원시,KB손해보험인재니움,KB Insurance Ingenium ,200000178,1209,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.2917667,127.0179667
수원시,KT남수원지사,KT Namsuwon Branch ,201000005,2238,노변정류장,경기도 수원시,경기도 수원시 권선구 권선동,37.26225,127.02515
수원시,KT남수원지사,KT Namsuwon Branch ,201000004,2237,노변정류장,경기도 수원시,경기도 수원시 권선구 권선동,37.2611333,127.0241167
수원시,KT동수원지사,KG Dongsuwon Branch ,203000177,4058,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2732,127.0514
수원시,KT동수원지사,KT dongsuwon Branch ,203000069,4056,노변정류장,경기도 수원시,경기도 수원시 영통구 원천동,37.2735833,127.0511
수원시,KT수원지사.국민연금북수원지사,"KT Suwon Branch, NPS Suwon Branch ",200000037,1135,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.2927,127.01155
수원시,KT수원지사.국민연금북수원지사,"KT Suwon Branch, NPS Suwon Branch ",200000093,1224,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.29245,127.0113167
수원시,LG빌리지1차아파트.칠보마을6단지,"LG Village Apartment 1-cha, Chilbo Maeul 6-danji",201000179,2003,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.2702333,126.9383333
수원시,LG빌리지2차아파트,LG Village Apartment 2-cha ,201000244,2002,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.2730833,126.9381167
수원시,LG빌리지3차아파트,LG Village Apartment 3-cha ,201000180,2001,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.27385,126.9379833
수원시,LG아파트,LG Apartment ,202000124,3199,노변정류장,경기도 수원시,,37.2891167,126.9803333
수원시,SK.한라아파트.롯데마트(마을),"SK, Halla Apartment, Lotte Mart",200000413,1386,노변정류장,경기도 수원시,,37.2951,126.9838667
수원시,SK스카이뷰,SK Skyview,200000323,1297,노변정류장,경기도 수원시,경기도 수원시 장안구 정자동,37.3051167,126.9863167
수원시,SK스카이뷰,SK Skyview,200000326,1300,노변정류장,경기도 수원시,경기도 수원시 장안구 정자동,37.3052333,126.9853833
수원시,SK스카이뷰.SK아트리움,"SK Skyview, SK Artirium ",200000130,1069,노변정류장,경기도 수원시,경기도 수원시 장안구 파장동,37.3091833,126.9887
수원시,SK스카이뷰.SK아트리움,"SK Skyview, SK Artirium ",200000127,1218,노변정류장,경기도 수원시,경기도 수원시 장안구 파장동,37.30935,126.9882667
수원시,SK스카이뷰.다솔초등학교,"SKview Apartment, Dasol Elementary School",200000324,1298,노변정류장,경기도 수원시,경기도 수원시 장안구 정자동,37.3086167,126.9857667
수원시,SK스카이뷰.다솔초등학교,"SK Skyview, Dasol Elementary School ",200000325,1299,노변정류장,경기도 수원시,경기도 수원시 장안구 정자동,37.3081667,126.9862333
수원시,STX칸아파트.현대힐스테이트204동앞,"STX Kan Apartment, Hyundai Hillstsate Apartment 204",200000328,1302,노변정류장,경기도 수원시,,37.314,126.9836833
수원시,e편한세상,E-pyeonhansesang Apartment ,203000019,4061,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2705333,127.0527667
수원시,e편한세상아파트,E-Pyeonhansesang Apartment ,203000064,4126,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2463,127.0672167
수원시,가게앞.평동,"Store, Pyeong-dong",201000015,2153,노변정류장,경기도 수원시,경기도 수원시 권선구 평동,37.2606667,126.9955667
수원시,가게앞.평동,"Store, Pyeong-dong",201000059,2154,노변정류장,경기도 수원시,경기도 수원시 권선구 평동,37.2606833,126.9957667
수원시,가람마을,Garam Maeul ,203000426,4413,노변정류장,경기도 수원시,,37.2721333,127.0589333
수원시,가람마을,Garam Maeul ,203000427,4414,노변정류장,경기도 수원시,,37.2726167,127.0590167
수원시,가온마을2단지,Gaon Maeul 2-danji,201000181,2022,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.27505,126.9416
수원시,가온마을3단지,Gaon Maeul 3-danji,201000243,2021,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.2749,126.9418167
수원시,가온마을4단지,Gaon Maeul 4-danji,201000100,2025,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.2739167,126.9473
수원시,가족여성회관.이춘택병원.수원농협,"Family & Women's Community Center, Lee C. T Hospital, Haeum Museum of Art, Suwon Nonghyup",201000270,3049,노변정류장,경기도 수원시,경기도 수원시 팔달구 교동,37.2715333,127.0142167
수원시,가족여성회관.이춘택병원.해움미술관.수원농협,"Family & Women's Community Center, Lee C. T Hospital, Haeum Museum of Art, Suwon Nonghyup",201000295,3140,노변정류장,경기도 수원시,경기도 수원시 팔달구 교동,37.2722333,127.0151
수원시,갤럭시웨딩부페,Galaxy Wedding Buffet ,200000153,1115,노변정류장,경기도 수원시,경기도 수원시 장안구 송죽동,37.30435,127.0009667
수원시,거산.대원아파트,"Geosan, Daewon Apartment ",201000549,,노변정류장,경기도 수원시,,37.2473,126.9856667
수원시,거산.대원아파트,"Geosan, Daewon Apartment ",201000548,,노변정류장,경기도 수원시,,37.2475167,126.9856
수원시,건우아파트.율전중학교,"Guwoo Apartment, Yuljeon Middle School",200000388,1361,노변정류장,경기도 수원시,,37.3025,126.967
수원시,건우아파트.율전중학교,"Guwoo Apartment, Yuljeon Middle School",200000387,1360,노변정류장,경기도 수원시,,37.3025,126.9671
수원시,경기남부보훈지청.경기도교육청,"Southern Gyeonggi District Office of Patriots and Veterans Affairs, Gyeonggi Provincial Office of Education",200000312,1285,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.2962,127.02195
수원시,경기남부보훈지청.경기도교육청,"Southern Gyeonggi District Office of Patriots and Veterans Affairs, Gyeonggi Provincial Office of Education",200000180,1184,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.2954333,127.0238833
수원시,경기남부보훈지청.경기도교육청,"Southern Gyeonggi District Office of Patriots and Veterans Affairs, Gyeonggi Provincial Office of Education",200000142,1252,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.29455,127.0221667
수원시,경기남부지방경찰청.봉녕사입구,"Gyeonggi Nambu Provincial Police Agency, Bongnyeongsa",203000167,4002,노변정류장,경기도 수원시,,37.2937167,127.0349667
수원시,경기남부지방경찰청.봉녕사입구,"Gyeonggi Nambu Provincial Police Agency, Bongnyeongsa",203000001,1257,노변정류장,경기도 수원시,,37.2936833,127.0343167
수원시,경기대명고등학교,Gyeonggi Daemyeong High School,201000315,2844,노변정류장,경기도 수원시,경기도 수원시 권선구 당수동,37.2937167,126.9416333
수원시,경기대입구,Kyonggi University ,200000085,1199,노변정류장,경기도 수원시,경기도 수원시 장안구 연무동,37.2996,127.0298167
수원시,경기대입구,Kyonggi University ,200000169,1202,노변정류장,경기도 수원시,경기도 수원시 장안구 연무동,37.2997833,127.0301333
수원시,경기대후문,Kyonggi University Back Gate,203000035,4184,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2978333,127.0418333
수원시,경기대후문,Kyonggi University Back Gate,203000034,4008,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.29775,127.0419667
수원시,경기대후문.수원박물관.광교대학로,"Kyonggi University Back Gate, Suwon Museum, Gwanggyo daehak-ro",203000165,4181,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2970833,127.03975
수원시,경기대후문.수원박물관.광교대학로,"Kyonggi University Back Gate, Suwon Museum, Gwanggyo daehak-ro",203000166,4178,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2968333,127.0400167
수원시,경기도건설본부.경기도동물위생시험소.칠보마을7단지,"Provincial Construction Bureau, Livestock & Veterinary Research, Chilbo Maeul 7-danji ",201000178,2009,노변정류장,경기도 수원시,경기도 수원시 권선구 금곡동,37.2675167,126.9405333
수원시,경기도건설본부.경기도동물위생시험소.칠보마을7단지,"Provincial Construction Bureau, Livestock & Veterinary Research, Chilbo Maeul 7-danji ",201000337,2840,노변정류장,경기도 수원시,경기도 수원시 권선구 호매실동,37.26765,126.9415333
수원시,경기도경제과학진흥원,Gyeonggi Small & Medium Business Center,203000040,4019,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2912333,127.0452167
