시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,lat,lon,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
경기도,수원시,경수대로,,경기도 수원시 장안구 파장동 108-6,수원-0001,4,,N,37.31833965,126.9884191,9,8.5,36.6,Y,,,,,Y,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1196,경기도 수원시 장안구 파장동 109-3,수원-0002,1,,N,37.3175346,126.9886859,1,3,6.7,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1150,경기도 수원시 장안구 파장동 128-9,수원-0003,4,,N,37.31562493,126.9910688,7,7.2,25.3,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1150,경기도 수원시 장안구 파장동 128-9,수원-0004,4,,N,37.31562493,126.9910688,4,4.4,10.2,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 파장동 128-10,수원-0005,1,,N,37.31184345,126.9898078,2,2.8,14,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 파장동 218-26,수원-0006,1,,N,37.31161824,126.9902816,9,5.6,30.2,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 파장동 218-18,수원-0007,1,,N,37.31059119,126.9913986,7,7.4,26.2,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 파장동 528-11,수원-0008,4,,N,37.31056417,126.9915565,5,7.2,17.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1093,경기도 수원시 장안구 파장동 575-37,수원-0009,1,,N,37.30974607,126.9927447,3,4.3,11.1,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1093,경기도 수원시 장안구 파장동 575-37,수원-0010,1,,N,37.30974607,126.9927447,7,3.8,23.1,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1082,경기도 수원시 장안구 파장동 266-8,수원-0011,1,,N,37.30955492,126.9944162,1,3.1,6.3,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1071,경기도 수원시 장안구 파장동 584-1,수원-0012,1,,N,37.30866532,126.9950654,7,5.8,22.3,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 파장천로 36,경기도 수원시 장안구 파장동 585,수원-0013,1,,N,37.30849666,126.9956759,7,6.4,24.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 파장동 481-2,수원-0014,1,,N,37.30828497,126.9967795,1,1.9,10.8,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로1043번길 3,경기도 수원시 장안구 파장동 595,수원-0015,1,,N,37.30752344,126.9978603,7,4.5,21.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 1017,경기도 수원시 장안구 송죽동 440,수원-0016,1,,N,37.30642479,127.0002373,7,7.9,20.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 979,경기도 수원시 장안구 송죽동 452,수원-0017,1,,N,37.30453778,127.0037817,7,7.9,22.7,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
