코드,코드명
UNIM04,비행안전 제4구역
UHK100,일반물류단지
UMK400,(한강)건축 등 허가제한지역
UNE114,통제보호구역(해군기지)
UQS700,항만
UQS710,항만시설
UQS720,어항시설
UQS790,기타항만시설
UQS800,공항
UQS810,공항시설
UQS890,기타공항시설
UQS900,자동차및건설기계운전학원
UQS910,자동차운전학원
UQS920,건설기계운전학원
UQS990,기타자동차및건설기계운전학원
UQS999,기타교통시설
UQT000,공간시설미분류
UQT100,광장
UQT110,교통광장
UQT111,교차점광장
UQT112,역전광장
UQT113,주요시설광장
UQT120,일반광장
UQT121,중심대광장
UQT122,근린광장
UQT130,경관광장
UQT140,지하광장
UQT150,건축물부설광장
UQT190,기타광장시설
UQT200,공원
UQT210,어린이공원
UQT220,근린공원
UQT230,도시자연공원
UQT240,묘지공원
UQT250,체육공원
UQT260,소공원
UQT290,기타공원시설
UQT300,녹지
UQT310,완충녹지
UQT320,경관녹지
UQT330,연결녹지
UQT390,기타녹지시설
UQT400,유원지
UQT490,기타유원지시설
UQT500,공공공지
UQT590,기타공공공지시설
UQT999,기타도시공간시설
UQU000,유통및공급시설미분류
UQU100,시장
UQU110,대규모점포및정기시장
UQU120,농수산물도매시장
UQU130,농수산물공판장및농수산물종합유통센터
UQU140,가축시장
ZM8302,농수산업지구
UNE120,제한보호구역
UEE100,새만금사업지역
UQU200,유통업무설비
UQU210,유통단지
UQU290,기타유통업무설비
UQU300,수도공급시설
UQU310,취수시설
UQU320,저수시설
UQU330,정수시설
UQU340,배수시설
UQU350,전용관로상의도수시설및송수시설
UQU390,기타수도시설
UQU400,공동구
UQU490,기타공동구시설
UQU500,전기공급설비
UQU510,발전시설
UQU520,변전시설
UQU530,고압선
UQU540,배전사업소
UQU590,기타전기공급설비
UQU600,가스공급설비
UQU610,고압가스저장소
UQU620,액화석유가스충전시설
UQU630,가스공급시설
UQU690,기타가스공급설비
UQU700,열공급설비
UQU710,열원시설
UQU720,열수송시설
UQU790,기타열공급설비
UQU800,유류저장및송유설비
UQU810,석유비축저장시설
UQU820,송유관
UQU830,유류저장시설
UQU840,송유시설
UQU890,기타유류저장및송유설비
UQU900,방송통신시설
UQU910,무선설비
UQU920,사업용전기통신설비
UQU930,유선방송국설비
UQU990,기타방송통신시설
UQU999,기타유통및공급시설
UQV000,공공문화체육시설미분류
UQV100,운동장
UQV110,종합운동장
UQV190,기타운동장시설
UQV200,공공청사
UQV210,청사
UQV220,공관
UQV230,교정시설
UQV231,교도소
UQV232,구치소
UQV233,소년원
ZI7803,위락시설제한지구
ZM7805,주거환경보호지구
UIG430,다지구
UDB100,도청이전신도시 개발예정지구
UDD100,특별관리지역
UNE421,비행안전 제1구역(지원)
UM2100,공장설립승인지역
UQV290,기타공공청사시설
UQV300,학교
UQV310,유치원
UQV320,초등학교
UQV330,중학교
UQV340,고등학교
UQV350,대학
UQV390,기타학교시설
UQV400,도서관
UQV410,공공도서관
UQV420,전문도서관
UQV430,특수도서관
UQV490,기타도서관시설
UQV500,연구시설
UQV590,기타연구시설
UQV600,문화시설
UQV610,공연장
UQV620,박물관
UQV630,미술관
UQV640,문화산업진흥시설
UQV650,문화산업단지
UQV660,과학관
UQV690,기타문화시설
UQV700,사회복지시설
UQV709,기타사회복지시설
UQV750,공공직업훈련시설
UQV759,기타공공직업훈련시설
UQV800,체육시설
UQV810,공공체육시설
UQV820,골프장
UQV830,스키장
UQV890,기타체육시설
UQV910,청소년수련시설
UQV990,기타청소년수련시설
UQV999,기타공공문화복지시설
UQW000,방재시설미분류
UQW100,하천
UQW110,국가하천
UQW120,지방1급하천
UQW130,지방2급하천
UQW140,소하천
UQW190,기타하천시설
UQW200,저수지
UQW210,댐
UQW220,제방
UQW290,기타저수지시설
UQW300,방풍설비
UQW310,방풍림시설
UQW320,방풍담장시설
UQW330,방풍망시설
UQW390,기타방풍설비
UQW400,방수설비
UBA300,자연보전권역
UQA330,준공업지역
ZI0002,문화재보존영향 검토대상구역
UQU199,기타시장시설
UGA200,어항구역(수역)
UDS100,주거환경개선구역
TMP075,역사문화환경 보존지역
UIG330,제3종구역
UIN100,제1종구역
TMP023,(임시)불요존국유림
TMP030,(임시)붕괴위험지구
TMP054,(임시)자연재해위험개선지구
TMP055,(임시)정비구역
UQV234,소년분류심사원
ZA0013,건축선
ZA0014,역사도심
ZA0104,역사문화특화경관지구
ZA0105,조망가로특화경관지구
ZA0106,수변특화경관지구
ZE0015,도시계획시설 이적지
ZE0016,성장관리방안 수립지역
ZF0008,사고지
ZO8101,전통경관지구
ZO8102,조망권경관지구
ZO8103,중심시가지경관지구
ZO8104,일반시가지경관지구
ZO8105,수변특화경관지구
ZO8106,역사문화특화경관지구
ZL1101,지적재조사사업지구
UNE422,비행안전 제2구역(지원)
UNE443,비행안전 제3구역(비상)
UFN500,토석채취제한지역
UIG420,나지구
UDC100,역세권개발구역
TMP033,(임시)정비예정구역
UQQ810,도시자연공원구역
UNB100,비행안전구역
UNE410,전술항공작전기지
UQA320,일반공업지역
UNE127,제한보호구역(해군기지)
TMP021,(임시)제1종구역 및 제2종구역
UQW410,배수시설
UQW420,방수시설
UQW490,기타방수설비
UQW500,방화설비
UQW510,소방용수시설
UQW590,기타방화설비
UQW600,사방설비
UQW610,사방시설
UQW690,기타사방설비
UQW700,방조설비
UQW710,방조제
UQW790,기타방조설비
UQW800,유수지
UQW810,유수시설
UQW820,저류시설
UQW890,기타유수지시설
UQW999,기타도시방재시설
UQX000,보건위생시설미분류
UQX100,도축장
UQX190,기타도축장시설
UQX200,공동묘지
UQX210,공설묘지
UQX220,사설묘지
UQX290,기타공동묘지시설
UQX300,화장장
UQX310,공설화장장
UQX320,사설화장장
UQX390,기타화장장시설
UQX400,장례식장
UQX490,기타장례식장시설
UQX500,종합의료시설
UQX510,종합병원
UQX590,기타종합의료시설
UQX600,납골시설
UQX610,공공납골시설
UQX620,사설납골시설
UQX690,기타납골시설
UQX700,자연장지
UQX999,기타보건위생시설
UQY000,국토계획환경기초시설미분류
UQY100,하수도
UQY110,공공하수도중간선하수관
UQY120,하수종말처리시설
UQY190,기타하수도시설
UQY200,폐기물처리시설 및 재활용시설
UQY210,광역폐기물처리시설
UQY220,재활용시설
ZI7805,주거환경보호지구
ZL7402,주거환경보호지구
UNE415,비행안전 제5구역(전술)
UFQ300,채종림등
UNE122,제한보호구역(후방지역：500m)
UQF120,특화경관지구
UNE201,대공방어협조구역(위탁고도：54-236m)
TMP036,(임시)도시·주거환경정비기본계획을 공람중인 정비예정구역 및 정비계획을 수립중인 지역
TMP037,(임시)야생생물보호구역
TMP058,(임시)지역개발사업구역
UNE413,비행안전 제3구역(전술)
TMP027,(임시)해일위험지구
UGD300,이용가능무인도서
ZH3105,제2종수변경관지구
UQK110,역사문화환경보호지구
UNE124,제한보호구역(전술항공：5km)
TMP031,(임시)역사문화환경보존지역
UDJ100,도시ㆍ주거환경정비기본계획을 공람 중인 정비예정구역 및 정비계획을 수립 중인 지역
UFR110,생활환경보호구역
UFR120,수원함양보호구역
UFR130,경관보호구역
UFR140,재해방지보호구역
UFR150,산림유전자원보호구역
UOC800,역사문화환경 보존지역
UIM200,국가기간복합환승센터
UIM300,광역복합환승센터
UIM500,일반복합환승센터
UQY290,기타폐기물처리시설
UQY300,수질오염방지시설
UQY310,폐수종말처리시설
UQY320,폐수수탁처리업시설
UQY330,분뇨처리시설
UQY340,축산폐수공공처리시설
UQY350,폐광폐수처리시설
UQY390,기타수질오염방지시설
UQY400,폐차장
UQY490,기타폐차장시설
UQY999,기타환경기초시설
TMP505,(임시)댐 및 주변지역 친환경 활용 구역
TMP506,(임시)해양산업클러스터
ZB0008,일반경관지구
UQW101,운하
UQW109,기타운하시설
UQX800,장사시설
UQX805,국립묘지
UQX810,공설묘지
UQX815,사설묘지
UQX820,기타공동묘지시설
UQX825,공설화장시설
UQX830,사설화장시설
UQX835,기타화장시설
UQX840,장례식장
UQX845,기타장례식장시설
UQX850,봉안시설
UQX855,공설봉안시설
UQX860,사설봉안시설
UQX865,기타봉안시설
UQX870,공설자연장지
UQX875,법인등자연장지
UQV840,종합운동장
UQV850,기타운동장시설
UPF100,재해위험 개선사업지구
ZM7806,농수산업지구
UHL100,산업기술단지
TMP052,(임시)간척지활용사업구역
UMK500,(한강)폐수배출시설 설치제한지역
UNE113,통제보호구역(방공기지：500m)
ZA1101,원형보존지
TMP034,(임시)역사문화환경 보존육성지구
UQTEMP,용도별 건축물의 종류
TMP076,역사문화환경 보존지역
UFI200,수목원조성예정지
TMP019,(임시)역사문화미관지구
UGC200,핵심관리구역
TMP070,입지규제최소구역
UEF100,농업생산기반시설 및 주변지역 활용구역
UNE121,제한보호구역(전방지역：25km)
UNIM02,비행안전 제2구역
UNE440,비상활주로
UNE129,제한보호구역(방공기지：1km)
ZM7802,제2종자연경관지구
ZO8201,주거환경보호지구
UNIM05,비행안전 제5구역
UFQ500,산림유전자원보호림
UIM100,복합환승센터
UBY100,지역개발사업구역
TMP064,(임시)역사문화환경 보존지역
TMP500,(임시)산업복합구역
UNE420,지원항공작전기지
UNE431,비행안전 제1구역(헬기)
UNE128,제한보호구역(수역)
TMP018,(임시)중심지미관지구
UGC300,완충관리구역
ZH7301,여주군향토유적보호구역
ZH1501,의정부시향토유적보호구역
ZH4601,용인시향토유적보호구역
ZH4301,의왕시향토유적보호구역
ZH6501,포천시향토유적보호구역
ZH4501,하남시향토유적보호구역
ZI2101,농수산업지구
ZI8001,제2종자연경관지구
ZI7801,농업지구
ZJ7401,영동군향토유적보호구역
ZJ8001,단양군향토유적보호구역
ZJ8002,단양군전통사찰보존구역주변지역
ZJ7201,보은군전통사찰보존구역주변지역
ZJ7202,보은군자연경관보전지역
ZJ7402,증평군향토유적보호구역
ZJ7101,청원군향토유적보호구역
ZL7301,향토유적보호구역
ZL7401,자연경관보전지역
ZL7201,자연경관보전지역
ZL1401,자연경관보전지역
ZO0004,제2종수변경관지구
ZO0005,전통경관지구
ZO0006,조망권경관지구
ZO0007,숙박시설제한지구
ZO0008,위락시설제한지구
ZO0009,위험물저장및처리시설제한지구
ZP0001,전통경관지구
ZP0002,조망권경관지구
ZP0003,숙박시설제한지구
ZP0004,위락시설제한지구
ZP0005,위험물저장 및 처리시설제한지구
TMP025,(임시)침수위험지구
ZL8001,자연경관보전지역
ZL7901,자연경관보전지역
ZL1901,자연경관보전지역
ZL7101,자연경관보전지역
ZM9001,진도군향토유적보호구역
ZM9101,신안군향토유적보호구역
ZM1301,여수시향토유적보호구역
