시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,lat,lon,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 장안구 경수대로 979,경기도 수원시 장안구 송죽동 452,37.30453778,127.0037817,99,2,Y,1,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 장안구 송원로86번길 7,경기도 수원시 장안구 조원동 750-27,37.30219506,127.0104883,99,2,Y,2,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+4,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,송원로,송원로,3,경기도 수원시 장안구 수일로219번길 2,경기도 수원시 장안구 조원동 53-2,37.30656385,127.0141499,99,2,Y,3,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,정조로,정조로,3,경기도 수원시 장안구 정조로 1039,경기도 수원시 장안구 송죽동 379-1,37.29874348,127.0063246,99,2,Y,4,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 장안구 송정로187번길 72-6,경기도 수원시 장안구 조원동 744,37.30140833,127.0142508,99,2,Y,5,1,4,5,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 장안구 경수대로 824,경기도 수원시 장안구 영화동 67-1,37.29506396,127.0167963,99,2,Y,6,1,4,5,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,,경기도 수원시 장안구 영화동 107-7,37.29262417,127.0195053,99,2,Y,7,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,조원로,조원로,3,경기도 수원시 장안구 광교산로 38,경기도 수원시 장안구 영화동 31-1,37.29465351,127.022271,99,2,Y,8,1,4,5,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 팔달구 경수대로718번길 12,경기도 수원시 팔달구 우만동 472,37.28956715,127.0261277,99,2,Y,9,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,창룡대로,창룡대로,3,,경기도 수원시 팔달구 매향동 3-14,37.28756879,127.0234737,99,2,Y,10,1,3,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 팔달구 세지로 394,경기도 수원시 팔달구 우만동 508-14,37.28486205,127.0284247,99,2,Y,11,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,경기도 수원시 팔달구 경수대로 583-2,경기도 수원시 팔달구 인계동 1047,37.2752691,127.0301539,99,2,Y,12,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,경기도 수원시 팔달구 중부대로 90-3,경기도 수원시 팔달구 인계동 241-7,37.27633789,127.0269213,99,2,Y,13,1,4,3,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,,경기도 수원시 팔달구 인계동 929-3,37.27693372,127.0364149,99,2,Y,14,1,3,4,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 팔달구 경수대로 548,경기도 수원시 팔달구 인계동 944-6,37.27468352,127.0302365,99,2,Y,15,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
