정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,lat,lon,수집일시,단축아이디,도시코드,도시명
GGB200000376,신명아파트,0,N,,37.3007,126.9809667,2021-09-16 4:30,1349,31010,수원시
GGB200000377,천천중학교후문,0,N,,37.3003167,126.9800333,2021-09-16 4:30,1350,31010,수원시
GGB200000378,일성아파트,0,N,,37.3011833,126.9788667,2021-09-16 4:30,1351,31010,수원시
GGB200000379,삼호진덕아파트,0,N,,37.3016333,126.9785167,2021-09-16 4:30,1352,31010,수원시
GGB200000380,경기체육고등학교,0,N,,37.3030167,126.97745,2021-09-16 4:30,1353,31010,수원시
GGB200000381,주상아파트,0,N,,37.3030167,126.9717333,2021-09-16 4:30,1354,31010,수원시
GGB200000382,주상아파트,0,N,,37.3029333,126.9716833,2021-09-16 4:30,1355,31010,수원시
GGB200000383,율전지역아동센터.CU,0,N,,37.30335,126.9698667,2021-09-16 4:30,1356,31010,수원시
GGB200000384,율전지역아동센터.CU,0,N,,37.30325,126.9697667,2021-09-16 4:30,1357,31010,수원시
GGB200000385,장미5.6차아파트,0,N,,37.3031,126.9688167,2021-09-16 4:30,1358,31010,수원시
GGB200000386,장미5.6차아파트,0,N,,37.30325,126.9688333,2021-09-16 4:30,1359,31010,수원시
GGB200000387,건우아파트.율전중학교,0,N,,37.3025,126.9671,2021-09-16 4:30,1360,31010,수원시
GGB200000388,건우아파트.율전중학교,0,N,,37.3025,126.967,2021-09-16 4:30,1361,31010,수원시
GGB200000389,벽산아파트.서희3차아파트,0,N,,37.3045833,126.9665167,2021-09-16 4:30,1362,31010,수원시
GGB200000390,벽산아파트.서희3차아파트,0,N,,37.3046667,126.96635,2021-09-16 4:30,1363,31010,수원시
GGB200000391,서희1.2차아파트,0,N,,37.3052333,126.9672333,2021-09-16 4:30,1364,31010,수원시
GGB200000392,서희1.2차아파트,0,N,,37.30515,126.9671167,2021-09-16 4:30,1365,31010,수원시
GGB200000393,뜨란채1.2차아파트,0,N,,37.3064167,126.9669333,2021-09-16 4:30,1366,31010,수원시
GGB200000394,뜨란채1.2차아파트,0,N,,37.3064167,126.9670833,2021-09-16 4:30,1367,31010,수원시
GGB200000395,율전초등학교,0,N,,37.2994333,126.9693167,2021-09-16 4:30,1368,31010,수원시
GGB200000396,율전초등학교,0,N,,37.2993167,126.9694333,2021-09-16 4:30,1369,31010,수원시
GGB200000397,롯데마트,0,N,,37.2982667,126.9688,2021-09-16 4:30,1370,31010,수원시
GGB200000398,롯데마트,0,N,,37.2982333,126.9689333,2021-09-16 4:30,1371,31010,수원시
GGB200000399,이마트에브리데이,0,N,,37.2968167,126.96805,2021-09-16 4:30,1372,31010,수원시
GGB200000400,이마트에브리데이,0,N,,37.2966833,126.9681833,2021-09-16 4:30,1373,31010,수원시
GGB200000401,율천동주민센터,0,N,,37.2979833,126.9723333,2021-09-16 4:30,1374,31010,수원시
GGB200000402,율천동주민센터,0,N,,37.2981667,126.97175,2021-09-16 4:30,1375,31010,수원시
GGB200000403,천록아파트,0,N,,37.2976667,126.97375,2021-09-16 4:30,1376,31010,수원시
GGB200000404,천록아파트,0,N,,37.2977833,126.97375,2021-09-16 4:30,1377,31010,수원시
GGB200000405,삼성래미안아파트.성대후문,0,N,,37.2963833,126.9764,2021-09-16 4:30,1378,31010,수원시
GGB200000406,비단마을입구,0,N,,37.2977,126.97935,2021-09-16 4:30,1379,31010,수원시
GGB200000407,삼성래미안아파트.성대후문,0,N,,37.2965,126.9763667,2021-09-16 4:30,1380,31010,수원시
GGB200000408,한양주택,0,N,,37.2951,126.9784667,2021-09-16 4:30,1381,31010,수원시
GGB200000409,한양주택,0,N,,37.2952,126.97855,2021-09-16 4:30,1382,31010,수원시
GGB200000410,천천푸르지오북문,0,N,,37.294,126.9789,2021-09-16 4:30,1383,31010,수원시
GGB200000411,롯데마트,0,N,,37.2959833,126.983,2021-09-16 4:30,1384,31010,수원시
GGB200000412,천천푸르지오북문,0,N,,37.2941,126.9789833,2021-09-16 4:30,1385,31010,수원시
GGB200000413,SK.한라아파트.롯데마트(마을),0,N,,37.2951,126.9838667,2021-09-16 4:30,1386,31010,수원시
GGB200000414,천천푸르지오125동,0,N,,37.2925167,126.9791333,2021-09-16 4:30,1387,31010,수원시
GGB200000415,천천푸르지오125동,0,N,,37.2924833,126.9792833,2021-09-16 4:30,1388,31010,수원시
GGB200000416,샘물교회,0,N,,37.2905667,126.9783833,2021-09-16 4:30,1389,31010,수원시
GGB200000417,샘물교회,0,N,,37.2905333,126.9784833,2021-09-16 4:30,1390,31010,수원시
GGB200000418,천천푸르지오서문,0,N,,37.2895167,126.9786167,2021-09-16 4:30,1391,31010,수원시
GGB200000419,천천푸르지오서문,0,N,,37.28965,126.9786667,2021-09-16 4:30,1392,31010,수원시
GGB200000420,현대힐스테이트후문,0,N,,37.3116833,126.9833833,2021-09-16 4:30,1393,31010,수원시
GGB200000421,영남아파트,0,N,,37.2898833,126.99925,2021-09-16 4:30,1394,31010,수원시
GGB200000422,영남아파트,0,N,,37.2905167,126.9984333,2021-09-16 4:30,1395,31010,수원시
GGB200000423,수원의료원,0,N,,37.29185,126.9977333,2021-09-16 4:30,1396,31010,수원시
GGB200000424,수원의료원,0,N,,37.2922667,126.9971333,2021-09-16 4:30,1397,31010,수원시
GGB200000425,방송통신대,0,N,,37.29395,126.9980333,2021-09-16 4:30,1398,31010,수원시
GGB200000426,방송통신대,0,N,,37.2940833,126.99755,2021-09-16 4:30,1399,31010,수원시
GGB200000427,벽산아파트,0,N,,37.2951333,126.9971167,2021-09-16 4:30,1400,31010,수원시
GGB200000428,벽산아파트,0,N,,37.2955833,126.9964167,2021-09-16 4:30,1401,31010,수원시
GGB200000429,벽산아파트후문,0,N,,37.3037,126.9669833,2021-09-16 4:30,1402,31010,수원시
GGB200000430,벽산아파트후문,0,N,,37.3036833,126.9671,2021-09-16 4:30,1403,31010,수원시
GGB200000431,성균관대역(마을),0,N,,37.2993333,126.9720167,2021-09-16 4:30,1404,31010,수원시
GGB200000437,성균관대역동문굿모닝힐아파트,0,N,,37.2987,126.9653167,2021-09-16 4:30,1413,31010,수원시
GGB200000438,동문굿모닝힐아파트.율전이인아파트,0,N,,37.2979333,126.9668167,2021-09-16 4:30,1414,31010,수원시
GGB200509100,송촌아파트,0,N,,37.3075,126.9676,2021-09-16 4:30,0,31010,수원시
GGB200509210,밤밭노인복지관,0,N,,37.3060167,126.9714167,2021-09-16 4:30,0,31010,수원시
GGB201000001,한마음외과,0,N,,37.2547667,127.0208167,2021-09-16 4:30,2222,31010,수원시
GGB201000002,세권사거리,0,N,,37.2570167,127.0219833,2021-09-16 4:30,2228,31010,수원시
GGB201000003,권선사거리.SK뷰아파트,0,N,,37.2591333,127.0230833,2021-09-16 4:30,2234,31010,수원시
GGB201000004,KT남수원지사,0,N,,37.2611333,127.0241167,2021-09-16 4:30,2237,31010,수원시
GGB201000005,KT남수원지사,0,N,,37.26225,127.02515,2021-09-16 4:30,2238,31010,수원시
GGB201000006,권선사거리.SK뷰아파트,0,N,,37.2589833,127.0236667,2021-09-16 4:30,2235,31010,수원시
GGB201000007,세권사거리,0,N,,37.2557667,127.0219833,2021-09-16 4:30,2227,31010,수원시
GGB201000008,한양아파트,0,N,,37.2529833,127.02055,2021-09-16 4:30,2217,31010,수원시
GGB201000009,수원버스터미널,0,N,,37.25095,127.01955,2021-09-16 4:30,2214,31010,수원시
GGB201000010,권선중학교,0,N,,37.24905,127.0185167,2021-09-16 4:30,2210,31010,수원시
GGB201000011,공군관사,0,N,,37.2428833,127.0177833,2021-09-16 4:30,2207,31010,수원시
GGB201000012,권선동,0,N,,37.2363333,127.02025,2021-09-16 4:30,2216,31010,수원시
GGB201000013,곡반정동입구,0,N,,37.2333333,127.0218333,2021-09-16 4:30,2226,31010,수원시
